28201 282 0 2 -3
28202 282 0 1 1
28501 285 1 1 2
28502 285 1 1 1
28503 285 1 1 1
28701 287 0 0 0
28702 287 1 1 1
28801 288 2 0 0
28802 288 1 0 0
28803 288 0 0 0
28804 288 0 1 1
28805 288 1 1 1
28806 288 1 1 1
28901 289 0 0 0
28902 289 1 1 0
29001 290 0 0 0
29002 290 2 0 0
29201 292 0 -3 0
29202 292 0 0 -3
29301 293 1 1 1
29302 293 1 1 1
29401 294 0 1 1
29402 294 0 -3 -3
29403 294 0 0 0
29701 297 0 0 1
29702 297 0 1 1
29801 298 1 1 1
29802 298 1 0 0
30501 305 -3 -3 -3
30502 305 0 0 0
31201 312 0 0 1
31202 312 0 0 0
31401 314 0 1 0
31402 314 1 0 0
31403 314 0 0 0
31404 314 0 0 1
31405 314 0 1 1
32101 321 0 0 0
32102 321 0 0 -3
32103 321 0 0 -3
32201 322 0 -3 -3
32202 322 0 0 1
32203 322 0 1 -3
33301 333 1 1 1
33302 333 1 0 0
33501 335 1 1 1
33801 338 0 1 1
33802 338 1 1 1
33901 339 0 0 0
34001 340 0 1 1
34002 340 0 1 1
34003 340 0 0 0
34301 343 1 1 1
34401 344 0 0 0
34402 344 0 0 0
34501 345 0 1 1
34701 347 0 0 1
34702 347 0 0 1
35401 354 1 1 1
35402 354 -3 0 0
36501 365 0 -3 -3
36502 365 0 0 0
36503 365 0 0 0
36504 365 0 0 0
36505 365 0 0 0
36901 369 1 1 -3
36902 369 1 1 0
37101 371 1 1 0
37102 371 0 0 0
37103 371 0 0 0
37301 373 1 1 0
37302 373 0 0 1
37401 374 0 1 1
37402 374 1 1 0
37403 374 0 0 0
37901 379 0 0 1
37902 379 0 0 0
37903 379 0 0 0
38201 382 1 1 1
38202 382 1 1 1
38501 385 1 1 1
38502 385 1 1 1
38503 385 1 1 1
38801 388 1 1 1
38802 388 0 0 1
38803 388 1 1 1
38901 389 1 1 1
38902 389 1 1 1
39001 390 2 2 2
39002 390 0 0 0
39003 390 0 0 -3
39004 390 0 1 2
39101 391 0 0 0
39102 391 0 1 1
39103 391 1 1 1
39501 395 1 1 1
39502 395 1 0 0
39701 397 0 2 2
39702 397 0 2 2
39703 397 0 0 -3
39704 397 0 1 0
39901 399 1 1 1
40001 400 1 1 1
40101 401 0 0 0
40102 401 0 0 0
40201 402 1 1 1
40202 402 1 1 1
40203 402 0 0 0
40501 405 1 1 -3
40502 405 1 1 1
40503 405 1 0 0
40701 407 1 1 0
40702 407 1 0 1
41401 414 0 0 0
41402 414 0 0 0
41601 416 0 0 0
41602 416 0 0 0
41603 416 0 0 0
41604 416 0 0 2
41801 418 1 1 0
42301 423 1 1 1
42302 423 0 1 1
42501 425 1 1 0
42502 425 0 0 0
42503 425 0 0 0
42504 425 1 1 -3
42505 425 -3 0 0
42701 427 0 0 1
42801 428 0 0 1
42802 428 0 0 1
43101 431 1 1 1
43102 431 1 1 1
43103 431 1 1 1
43701 437 1 1 1
43702 437 1 1 1
43703 437 1 1 1
43801 438 1 1 1
43901 439 1 -3 1
43902 439 1 1 1
44201 442 0 0 0
44202 442 0 0 0
44203 442 0 0 0
44401 444 0 0 0
44402 444 0 0 0
44601 446 1 0 1
44602 446 0 0 1
44901 449 0 0 1
44902 449 0 1 0
45201 452 0 1 1
45202 452 1 1 1
45501 455 1 1 1
45502 455 1 1 1
45801 458 -3 1 -3
45901 459 1 1 0
45902 459 0 -3 0
45903 459 0 0 0
46201 462 1 1 1
46501 465 1 1 1
46701 467 0 0 1
46702 467 2 0 1
47101 471 1 1 1
47102 471 1 1 1
47201 472 0 0 0
47401 474 1 1 1
47402 474 1 0 0
47403 474 1 1 1
47501 475 -3 0 -3
47601 476 0 0 1
47602 476 0 -3 0
47801 478 1 0 0
47802 478 0 0 0
48501 485 3 3 3
48502 485 -3 -3 0
48503 485 0 0 -3
49101 491 4 4 4
49102 491 2 2 2
49201 492 0 0 0
49202 492 0 0 -3
49203 492 0 -3 0
49401 494 1 1 1
49402 494 1 1 1
49501 495 0 0 1
49502 495 0 0 1
49901 499 0 0 0
50101 501 0 0 1
50102 501 0 1 0
50301 503 0 0 1
50302 503 0 0 0
50303 503 0 0 0
50401 504 0 1 0
50402 504 0 0 0
50403 504 0 0 1
50601 506 1 1 1
50701 507 0 0 1
50702 507 0 1 1
51401 514 0 0 0
51402 514 0 0 0
51403 514 0 0 2
51501 515 0 0 0
51502 515 0 0 0
51901 519 0 0 0
52201 522 0 0 0
52202 522 1 1 1
52501 525 1 -3 1
52502 525 0 7 7
52801 528 0 0 0
52802 528 0 1 1
52901 529 0 0 0
52902 529 0 0 1
52903 529 0 0 0
53001 530 4 4 4
53002 530 0 0 0
53003 530 0 0 0
53201 532 7 7 7
53202 532 7 7 7
53301 533 0 0 0
53601 536 1 1 0
53602 536 0 0 0
54201 542 0 0 0
54202 542 2 0 0
54401 544 0 1 1
54601 546 0 0 1
54602 546 1 0 1
54801 548 0 1 1
54802 548 0 1 1
54803 548 1 0 1
54804 548 0 0 0
55001 550 2 0 0
55002 550 0 0 1
55201 552 0 0 0
55202 552 0 0 0
55701 557 0 0 1
55702 557 0 0 0
55703 557 0 0 -3
55704 557 0 0 0
55801 558 1 1 1
55802 558 1 -3 0
55803 558 0 0 1
56301 563 1 1 1
56302 563 1 1 1
56303 563 0 0 0
56701 567 -3 0 -3
56702 567 0 0 0
56801 568 1 1 1
57201 572 0 0 -3
57401 574 0 0 0
57601 576 1 1 1
57602 576 1 1 0
57603 576 0 0 0
57604 576 0 0 0
57901 579 0 0 0
57902 579 0 -3 0
58201 582 1 1 1
58501 585 0 2 0
58502 585 0 2 1
58503 585 1 2 1
58504 585 0 0 0
58505 585 1 1 -3
58801 588 0 0 2
58802 588 0 0 2
58803 588 0 0 0
58804 588 -3 0 -3
58901 589 1 1 1
58902 589 2 2 2
59001 590 0 0 0
59002 590 0 0 0
59003 590 0 0 0
59004 590 0 2 0
59301 593 -3 -3 -3
59302 593 -3 -3 -3
60401 604 1 1 1
60402 604 1 1 1
60403 604 1 1 0
60404 604 1 1 1
60801 608 0 0 0
60802 608 0 0 0
60803 608 0 0 -3
61101 611 1 1 1
61102 611 1 1 1
61401 614 0 1 1
61402 614 1 1 1
61501 615 0 1 1
61502 615 0 0 0
61801 618 0 0 0
61802 618 0 0 0
61803 618 0 1 1
61901 619 0 2 0
61902 619 0 2 0
61903 619 0 2 0
61904 619 0 1 0
61905 619 1 1 0
61906 619 0 0 0
62101 621 0 2 0
62102 621 0 0 0
62103 621 1 0 1
62201 622 0 1 1
62202 622 1 1 1
62203 622 1 1 1
62301 623 0 0 2
62302 623 0 0 0
62701 627 1 1 1
62702 627 1 1 1
62703 627 0 0 0
62704 627 4 4 4
63201 632 0 0 0
63202 632 0 0 0
63203 632 0 0 0
63401 634 0 0 0
63402 634 -3 -3 -3
63403 634 0 0 0
63501 635 0 0 0
63502 635 0 0 0
64001 640 1 1 1
64002 640 0 0 1
64201 642 0 0 0
64202 642 0 0 0
64301 643 0 7 7
64801 648 0 0 1
65001 650 1 1 1
65002 650 1 -3 1
65401 654 1 1 1
65601 656 0 0 0
65602 656 0 0 0
65701 657 0 0 0
65702 657 0 0 0
66001 660 0 0 2
66002 660 0 0 0
66003 660 0 0 -3
66201 662 0 1 1
66202 662 1 1 1
66401 664 1 1 1
66402 664 0 1 1
66501 665 0 0 1
66502 665 0 1 1
66801 668 0 1 0
66802 668 0 0 0
66803 668 0 0 0
66804 668 0 0 0
66805 668 0 1 1
67701 677 1 1 1
67702 677 1 1 1
67703 677 1 1 1
67704 677 1 1 1
68801 688 1 1 2
68802 688 0 0 0
68901 689 0 2 0
68902 689 0 1 0
68903 689 1 1 1
69101 691 0 0 1
69102 691 0 1 0
69103 691 0 0 7
69201 692 0 0 0
69202 692 0 1 1
69401 694 0 0 1
69402 694 0 0 1
69403 694 0 0 0
69404 694 0 0 0
69601 696 0 0 0
69801 698 0 0 0
69802 698 0 0 0
70301 703 1 0 1
70302 703 0 2 2
70303 703 1 -3 1
70401 704 1 1 1
70402 704 1 1 1
70601 706 0 0 0
70602 706 0 0 0
70603 706 0 0 0
70604 706 0 0 0
70605 706 0 -3 1
70801 708 0 1 1
71201 712 1 1 1
71202 712 1 1 -3
71301 713 0 0 0
71302 713 0 0 0
72001 720 0 1 1
72002 720 1 1 1
72101 721 1 1 1
72102 721 1 0 0
72401 724 1 1 0
72402 724 0 0 1
72601 726 0 0 0
72602 726 0 1 1
72603 726 0 0 0
73301 733 0 0 1
73302 733 0 2 1
73303 733 1 0 0
73304 733 0 0 0
73601 736 1 0 1
73602 736 2 0 0
73901 739 0 0 0
73902 739 0 1 0
73903 739 1 1 1
74001 740 0 1 1
74301 743 1 1 1
74302 743 1 1 1
74401 744 0 0 1
74402 744 1 0 0
74601 746 1 1 1
74602 746 1 0 1
75201 752 0 1 1
75202 752 1 -3 1
75501 755 1 1 1
75502 755 1 1 1
75503 755 1 0 1
75601 756 0 0 0
75602 756 0 0 0
75603 756 1 0 1
75604 756 1 -3 0
75605 756 0 0 0
75701 757 0 0 0
75702 757 1 1 1
75801 758 0 0 0
75901 759 2 2 0
75902 759 0 0 0
75903 759 0 0 0
75904 759 1 1 1
76101 761 0 0 0
76102 761 0 0 1
76103 761 -3 0 -3
76401 764 1 0 1
76402 764 0 1 0
76403 764 1 0 0
76404 764 0 0 0
76405 764 1 0 0
76801 768 0 0 0
76802 768 0 0 0
